Keyword,Search_Volume,Total_Results,BSR_Min,BSR_Avg,BSR_Max,Price_Min,Price_Avg,Price_Max,Reviews_Min,Reviews_Avg,Reviews_Max,Sales_Min,Sales_Avg,Sales_Max,Revenue_Min,Revenue_Avg,Revenue_Max,Revenue_Total,Oppurtunity_Score,Use
shoes sparks sport shoes,n/a,1000,8,8,8,499,499,499,13863,13863,13863,324,324,324,161676,161676,161676,1616760,4,YES
shoes sparx shoes,n/a,2000,3,713,2657,549,858,1325,2,1001,3870,20,142,418,21516,108457,245784,976115,7,YES
shoes sparx shoes casual,n/a,2000,3,439,2494,499,765,1019,1,1107,3870,21,164,418,17934,125008,245784,1250079,4,YES
shoes sparx shoes mens,n/a,2000,3,311,1611,296,794,1325,2,767,2474,28,198,418,37100,135017,245784,1350170,7,YES
shoes sparx shoes sport,n/a,971,29,1020,6174,549,918,1325,2,388,1472,10,94,215,8990,83487,182832,834871,4,YES
shoes sport shoes,n/a,n/a,2,114,633,399,580,899,66,512,3160,51,209,460,25449,118986,229540,1189856,4,YES
shoes sports shoes,n/a,90000,2,244,1825,449,526,899,0,836,3546,26,226,460,12974,124846,302064,1123612,7,YES
shoes stylish shoes,n/a,60000,2,604,2334,259,437,599,1,432,3722,22,131,460,9583,59786,229540,597860,5,YES
shoes stylish shoes for boys,n/a,20000,17,256,666,449,490,499,1,408,1536,45,108,234,22455,52407,107406,524065,4,YES
shoes stylish shoes for girls,n/a,10000,55,231,681,419,516,918,13,567,1392,23,102,172,10902,55968,153306,559679,6,YES
shoes white shoes,n/a,70000,9,446,2700,248,493,942,2,437,2969,19,123,313,9158,69870,294846,698696,4,YES
shoes womens asian shoes,n/a,6000,181,3091,9577,352,455,549,16,59,97,7,37,101,2926,17611,52419,176114,1,NO
shoes womens shoes,n/a,200000,20,688,3893,474,837,1717,5,137,392,14,113,245,16116,79921,148640,799207,7,YES
shoes woodland formal shoes new woodland formal shoes new product,n/a,14,9294,58180,176020,589,1796,3995,0,52,298,0,2,7,0,6048,23765,54429,3,NO
shoes woodland new shoes,n/a,117,6769,25250,49598,2242,3263,3980,3,54,179,1,3,9,2637,10619,27450,106194,3,NO
shoes woodland shoes,n/a,1000,172,4577,13745,2197,3501,3995,12,73,197,5,28,103,17042,98735,401082,987346,1,NO
shoes black quality shoes,n/a,10000,3,4621,25393,145,610,1409,0,278,2259,2,84,418,998,54886,245784,548861,7,YES
shoes shoe less of puma,n/a,69,1105,17065,43521,1083,2090,3599,10,181,516,1,11,39,3000,17959,51083,179590,3,NO
shoesmanstyleshoes,n/a,40000,4,1486,9033,299,480,799,0,290,2464,7,132,390,4485,64200,231660,642001,6,YES
