Keyword,Search_Volume,Total_Results,BSR_Min,BSR_Avg,BSR_Max,Price_Min,Price_Avg,Price_Max,Reviews_Min,Reviews_Avg,Reviews_Max,Sales_Min,Sales_Avg,Sales_Max,Revenue_Min,Revenue_Avg,Revenue_Max,Revenue_Total,Oppurtunity_Score,Use
men shoes leather,n/a,60000,65,674,2215,499,1207,2239,47,206,479,19,79,157,29970,85096,195936,850962,4,YES
men shoes loafer,n/a,50000,4,2294,16040,275,483,1099,0,98,318,4,103,390,1996,44526,140400,445255,6,YES
men shoes sports,n/a,70000,1,1,1,474,474,474,15262,15262,15262,532,532,532,252168,252168,252168,2521680,5,YES
men shoes under 500,n/a,60000,1,65,291,320,451,499,69,812,3188,64,269,532,28736,118850,265468,1069647,7,YES
men shoes woodland,n/a,1000,716,2139,4099,2097,3367,4046,8,62,135,14,27,48,29358,92197,158880,921969,4,YES
men shoes sports shoes,n/a,30000,2,172,818,369,580,997,0,1333,7347,45,208,510,27389,110007,241740,1100067,4,YES
metro shoes white shoes,n/a,124,24950,85801,316457,845,1341,2443,0,0,3,0,1,2,0,1332,2366,11988,1,NO
mi shoes smart shoes,n/a,125,56,13036,35842,397,1995,4999,0,211,1591,2,33,168,2175,25017,128352,175122,7,YES
mi shoes sport shoes,n/a,125,56,13036,35842,397,1995,4999,0,211,1591,2,33,168,2175,25017,128352,175122,4,YES
military shoes military shoes,n/a,2000,2974,9064,19203,475,907,1949,0,9,60,3,10,18,1425,8701,16182,87012,0,NO
model shoes model shoes,n/a,5000,31,8470,36430,499,705,1499,1,622,2226,2,81,210,998,51701,145236,517013,5,YES
mojdi shoes loafer shoes,n/a,22,631,92783,302137,349,554,999,0,9,79,0,7,52,0,3708,25948,37076,1,NO
molessi shoes white shoes,n/a,44,1964,87562,366141,490,2219,3199,0,7,40,0,5,35,0,4943,17150,39541,2,NO
nike shoe shoe,n/a,4000,1827,13148,54347,1046,2102,4395,0,8,52,1,11,26,4395,19040,46713,190395,1,NO
nike shoes for boys,n/a,581,2847,12354,46984,682,1706,3695,0,2,6,1,10,19,3196,11256,28443,101308,2,NO
nike shoes for men,n/a,1000,1043,6376,30748,359,1685,3145,0,34,199,2,22,36,1598,49204,103425,393630,7,YES
non shoes girls shoes,n/a,2000,3249,8199,27580,570,822,1099,2,11,45,2,10,17,1638,8218,15283,82177,2,NO
p shoes,n/a,7000,5,1306,6331,165,546,849,1,664,2428,10,136,368,6300,59501,143021,595011,6,YES
paragon shoe paragon shoe,n/a,2000,186,3320,15237,209,311,499,5,74,192,4,58,100,1996,15175,26226,151754,2,NO
paragon shoes paragon shoes,n/a,2000,193,3940,8791,215,339,499,6,61,192,7,43,98,1505,10631,26226,95678,0,NO
party shoes party shoes,n/a,40000,92,4468,29767,299,562,999,0,100,612,3,47,128,1497,25844,63872,258443,7,YES
pointed shoes ballet shoes,n/a,292,78920,208969,309331,449,807,1350,0,0,2,0,0,1,0,222,665,665,0,NO
power shoes for men shoes,n/a,364,212,1840,4721,769,1065,1478,34,229,511,12,45,93,11886,46389,120807,463888,6,YES
pt shoes pt shoes,n/a,726,6579,37208,102699,269,1484,3640,0,8,41,0,3,9,0,4501,21840,45012,3,NO
quechua shoes casual shoes,n/a,1,11916,145872,583906,2299,2959,3999,0,10,22,0,2,5,0,6398,11997,31989,0,NO
racing shoes and casual shoes,n/a,180,354,24453,107493,299,1746,5295,0,47,175,0,20,72,0,27130,59184,271304,4,YES
red shoes and white shoes,n/a,10000,197,5629,37159,338,1001,2597,0,50,191,2,38,97,4956,23103,47433,231032,7,YES
red tape shoes,n/a,1000,79,2957,14249,748,1647,2598,6,153,384,4,51,146,7716,83978,204984,755798,4,NO
redtape shoe for shoe,n/a,498,131,3308,27706,898,1619,2598,6,240,442,2,56,117,3406,84326,118521,758934,5,YES
redtape shoes leather shoes,n/a,830,65,644,2115,999,1396,2299,10,142,463,23,79,159,29624,104886,223872,1048861,6,YES
redtape shoes running shoes,n/a,107,150,13238,53407,1387,1758,2147,0,59,184,1,26,110,1758,44149,165330,441494,7,YES
reebok shoes,n/a,3000,87,3437,14935,1199,2042,3299,0,23,86,4,49,141,7196,84017,176109,840169,7,YES
reebok shoes and nike shoes,n/a,593,183,10530,49572,320,1022,3099,4,247,628,1,29,95,799,20788,44850,187095,6,YES
reebok shoes xt shoes,n/a,26,1197,32397,72242,1280,2091,3959,0,30,139,1,8,34,1649,14638,77826,146380,1,NO
rexine shoes leather shoes,n/a,95,523,14207,102438,231,1062,3999,0,73,124,0,22,58,0,16009,45878,160088,2,NO
roadster shoes casual shoes,n/a,87,3273,57735,252742,329,575,1189,0,4,21,0,4,17,0,1716,5933,17158,1,NO
running 11 shoes,n/a,10000,8496,29553,68701,599,912,1799,0,4,8,1,4,7,599,3034,5397,12136,1,NO
safety shoe safety shoe,n/a,10000,102,546,1346,244,760,1713,1,248,566,12,62,149,5124,42030,136037,378268,7,YES
scatchite shoes sport shoes,n/a,53,28786,131546,309134,349,539,999,1,16,90,0,1,2,0,360,1350,3597,1,NO
scating shoes and sport shoes,n/a,5,975,36836,131104,495,1108,1999,0,2,12,0,16,70,0,25095,139930,150569,2,NO
server shoes for men shoes,n/a,103,1666,13093,24168,484,549,599,0,15,88,3,10,28,1632,5220,13600,46977,2,NO
shoe brush for leather shoes,n/a,1000,1005,10025,32464,85,234,375,0,26,59,2,13,39,255,3132,11661,31323,2,NO
shoe couture grey shoes,n/a,7,3,65566,113132,499,2577,7619,0,373,3725,0,140,418,0,70234,208582,210701,6,YES
shoe couture shoes,n/a,308,58465,80657,124195,200,2491,5290,0,0,1,0,1,1,0,1908,5290,13353,3,NO
shoe couture white shoes,n/a,16,28531,99490,170449,486,1602,3042,0,5,19,0,1,2,0,486,972,972,1,NO
shoe couture women shoes,n/a,63,9368,62790,93020,486,2113,4790,0,6,31,0,2,7,0,2475,4790,19803,2,NO
shoe covers for shoe dispenser,n/a,1000,12353,69748,166038,479,3614,7677,0,0,1,0,0,0,0,0,0,0,0,NO
shoe glue for shoes,n/a,10000,935,40861,152403,150,613,1242,0,7,42,0,4,19,0,1639,6720,16386,0,NO
shoe glue for sports shoes,n/a,216,16446,16446,16446,400001,400001,400001,7,7,7,9,9,9,3600009,3600009,3600009,36000084,1,NO
shoe inserts for big shoes,n/a,5000,3228,12844,26016,190,336,499,0,6,17,5,31,138,2093,9238,35742,92377,1,NO
shoe inserts for loose shoes,n/a,61,677,91070,367135,249,484,720,0,44,376,0,38,121,0,16418,54223,114929,0,NO
shoe insole for big shoes,n/a,403,90,6840,53569,189,782,2099,0,409,1486,1,75,323,519,46071,129426,460708,4,YES
shoe island ankle shoes,n/a,45,7565,24359,64807,399,488,599,0,5,21,1,4,8,399,2124,3992,21239,3,NO
shoe island casual shoes,n/a,110,9386,26585,65961,399,479,499,0,6,27,1,4,7,499,1756,3493,17564,2,NO
shoe island gym shoes,n/a,14,6102,127592,386661,399,449,499,0,0,2,0,2,10,0,887,4990,7983,3,NO
shoe island long shoes,n/a,83,6212,37650,119289,399,504,599,0,3,11,0,3,10,0,1682,5990,16818,1,NO
shoe island shoes,n/a,393,911,12947,38837,449,512,599,0,5,20,1,12,41,499,6350,20418,63495,3,NO
shoe island shoes for men,n/a,186,5196,22195,75345,399,471,499,0,5,21,1,6,11,399,2817,5489,28172,0,NO
shoe laces for casual shoes,n/a,10000,2,3397,20800,165,284,899,2,463,3869,3,83,460,555,30384,229540,303841,7,YES
shoe laces for formal shoes,n/a,6000,221,2598,5481,145,174,195,14,76,293,11,30,91,1925,5228,15015,52277,0,NO
shoe laces for sport shoes,n/a,7000,645,2594,10181,145,252,449,4,65,147,6,31,51,1170,7517,22899,67653,2,NO
shoe less shoes,n/a,3000,62,1131,5695,199,526,762,12,390,1872,11,81,162,2189,45169,111252,451694,4,YES
shoe less shoes for men,n/a,2000,3,2627,20623,234,471,909,9,663,3725,3,123,418,702,60894,208582,548046,5,YES
shoe mistri shoe renovator,n/a,32,713,4404,13552,149,244,399,2,18,62,5,20,48,745,5212,12768,52123,1,NO
shoe nike shoes,n/a,3000,3035,66197,597948,740,2638,6084,0,3,11,0,10,17,0,21361,54756,213608,3,NO
shoe rack for shoes,n/a,10000,57,18254,141508,399,959,1399,0,79,782,0,123,724,0,79795,396752,797950,4,YES
shoe shiner for leather shoes,n/a,203,339,9552,44231,72,187,299,0,33,62,1,20,73,249,3043,6205,27388,2,NO
shoes,n/a,n/a,1,83,358,299,698,2078,1,866,3122,71,266,532,51726,148792,265468,1487921,7,YES
shoes for boys,n/a,n/a,9,139,801,284,462,549,32,340,710,45,189,313,22455,89336,161955,893361,4,YES
shoes for girls,n/a,n/a,27,224,537,399,494,599,38,243,585,57,118,221,32435,57241,110279,572411,7,YES
shoes for men,n/a,n/a,1,22,70,299,607,1299,1,1003,3133,154,297,532,58305,180223,335142,1802233,6,YES
shoes stylish,n/a,n/a,1,13,38,299,470,599,1,772,3122,195,330,532,58305,156113,265468,1405021,4,YES
shoes suits,n/a,n/a,1,1211,9993,449,796,2425,3,964,3122,0,194,532,0,122868,335142,1228684,6,YES
shoe sports shoe,n/a,100000,1,240,1825,320,543,889,0,728,3197,26,218,532,12974,119617,289575,1196166,6,YES
shoe stackers for a pair of shoes,n/a,30,23624,74812,173976,375,647,1000,0,5,39,0,3,5,0,1590,2995,4771,0,NO
shoe stretcher for leather shoes,n/a,26,2575,37967,180058,239,1087,2401,0,23,96,0,6,20,0,5197,15992,51972,3,NO
"shoe, slipper and office shoe",n/a,200000,2,40,131,320,535,825,0,1455,3861,117,261,460,63680,142155,289575,1421545,6,YES
shoes all shoes,n/a,40000,2,4997,20048,72,686,2805,0,407,3692,3,74,460,1197,38860,229540,349742,5,YES
shoes badminton 4 shoes,n/a,1000,1,4490,21032,649,1255,2871,1,423,3473,3,134,532,3894,131447,532000,1314469,6,YES
shoes bata shoes,n/a,3000,398,1646,5600,628,925,1299,3,54,182,11,41,67,6908,40619,70216,406185,4,NO
shoes bata shoes for men,n/a,2000,119,4849,40928,499,932,1299,20,100,410,1,50,123,13972,51997,95817,467970,6,NO
shoes black shoes,n/a,80000,7,1131,4557,499,865,1700,0,479,4056,13,98,339,11687,89067,287811,890667,4,YES
shoes black shoes 200,n/a,3000,566,566,566,n/a,n/a,n/a,364,364,364,55,55,55,n/a,n/a,n/a,n/a,3,NO
shoes boot shoes,n/a,100000,39,749,2099,189,498,994,10,204,601,23,79,193,10773,39300,96307,393001,7,YES
shoes campus girl shoes,n/a,25,992,9033,25907,299,696,999,0,40,139,2,16,40,598,11639,31960,116393,1,NO
shoes campus shoes,n/a,2000,142,8907,26136,799,1167,1899,1,37,114,2,23,113,2018,23886,90287,214973,4,NO
shoes canvas shoes,n/a,60000,3,1709,10447,191,569,1019,0,408,2259,6,98,418,2088,63473,245784,634729,7,YES
shoes casual shoes,n/a,100000,10,1682,14747,354,506,899,0,395,2274,4,140,304,1996,69658,151696,696584,7,YES
shoes casual shoes under 400,n/a,40000,3,1556,9725,310,383,480,0,98,593,6,132,418,2394,52257,187682,522573,7,YES
shoes chappals shoes model,n/a,779,5,473,1909,269,539,899,4,672,1700,25,137,368,12475,59467,123480,594671,5,YES
shoes children light shoes,n/a,7000,40,4311,12694,259,403,599,0,36,242,5,65,192,1995,26828,78720,268283,7,YES
shoes designe for girls shoes,n/a,10000,120,7654,26900,305,443,499,0,97,527,2,36,122,998,15559,60878,155589,0,NO
shoes football shoes of juventus,n/a,18,1885,34993,112615,699,806,899,0,1,6,0,6,25,0,4849,19275,48488,0,NO
shoes formal shoes,n/a,60000,59,736,2458,285,546,1408,6,304,1607,21,86,165,9408,53297,232320,532968,6,YES
shoes gents shoes,n/a,100000,1,733,5730,270,476,649,2,664,3188,41,145,532,16113,71752,265468,717524,5,YES
shoes girls shoes,n/a,100000,28,5916,53569,395,474,519,0,164,496,1,100,218,519,47702,108782,477015,4,YES
shoes girls shoes 300,n/a,2000,151,7900,33516,250,422,499,0,49,328,2,31,110,598,13792,46407,137921,1,NO
shoes girls shoes 5,n/a,40000,28,545,2487,349,451,499,0,110,250,21,91,218,10479,41749,108782,417489,4,YES
shoes girls shoes and boots,n/a,30000,35,752,2742,426,508,699,1,166,473,19,94,201,12475,45426,100299,454260,6,YES
shoes girls shoes party wear girls shoes,n/a,20000,151,3660,9222,149,409,499,0,25,92,7,42,110,1043,17491,42790,174913,0,NO
shoes gym shoes,n/a,20000,1,315,2095,299,572,879,0,729,3197,23,209,532,13777,122928,289575,1229280,5,YES
shoes jeans shoes,n/a,10000,15,2767,8584,299,482,549,0,228,730,7,101,268,2093,49320,133732,493200,6,YES
shoes laces for formal shoes,n/a,6000,221,9673,28041,162,581,2999,0,90,453,2,24,91,330,8876,34431,88759,2,NO
shoes laces for sports shoes,n/a,8000,1,1309,6371,195,537,834,6,760,3197,10,143,532,1950,92759,289575,927592,6,YES
shoes ladies shoes,n/a,70000,328,1710,5309,341,492,949,1,146,535,11,39,75,7485,17480,29850,174798,2,NO
shoes ladies shoes sandal,n/a,30000,1,70023,230829,228,535,1595,0,700,5031,0,110,500,0,50655,215050,506551,5,YES
shoes ladies shoes under 500,n/a,30000,254,254,254,474,474,474,618,618,618,85,85,85,40290,40290,40290,402900,5,YES
shoes ladies shoes with heles,n/a,50000,39,1297,5861,199,430,658,0,177,536,10,82,193,2950,32649,96307,293839,7,YES
shoes lakhani shoes,n/a,n/a,7412,20905,47979,499,969,1690,1,8,25,1,4,8,599,4330,9594,38968,2,NO
shoes lakhani shoes price,n/a,41,6843,6843,6843,1729,1729,1729,24,24,24,9,9,9,15561,15561,15561,155610,2,NO
shoes leather for shoes under 499,n/a,50000,7,3436,31809,299,432,499,7,167,531,4,123,336,1196,58450,167664,584502,4,YES
shoes leather shoes,n/a,30000,189,91388,497937,480,1104,3150,0,102,462,0,38,118,0,23186,70682,208671,4,YES
shoes leather shoes for men,n/a,30000,65,90139,497937,599,1719,2970,0,49,137,0,37,158,0,36181,99950,361813,4,YES
shoes leather shoes under 1000,n/a,30000,189,842,2470,480,761,999,50,215,671,27,60,118,18240,42695,70682,426947,5,YES
shoes less shoes under 500,n/a,1000,62,4214,18198,185,438,524,0,561,2269,3,64,162,1197,28411,72414,284111,6,YES
shoes loafer shoes,n/a,60000,26,781,3753,299,497,699,4,337,1485,15,99,224,7935,49786,94810,497864,4,YES
shoes loafers shoes,n/a,50000,4,889,2503,249,494,899,0,81,322,20,93,390,4980,45572,148200,455720,7,YES
shoes long military shoes,n/a,205,2974,24545,65784,399,744,999,0,8,60,1,7,18,399,5919,16182,59188,2,NO
shoes mans frown shoes,n/a,60000,4,775,3719,360,654,1408,0,120,318,15,116,390,11235,70105,232320,701050,4,YES
shoes men shoes,n/a,60000,49,49,49,380,380,380,1701,1701,1701,177,177,177,67260,67260,67260,672600,5,YES
shoes men shoes adidad,n/a,3000,18,3460,9853,1299,2235,3299,0,12,75,6,43,253,9366,74543,328647,745431,4,YES
shoes men shoes sports,n/a,30000,2,2,2,474,474,474,15033,15033,15033,460,460,460,218040,218040,218040,2180400,4,YES
shoes men shoes stylish,n/a,70000,49,49,49,380,380,380,1701,1701,1701,177,177,177,67260,67260,67260,672600,7,YES
shoes men shoes under 500,n/a,30000,49,49,49,380,380,380,1701,1701,1701,177,177,177,67260,67260,67260,672600,4,YES
shoes men sports shoes,n/a,80000,2,2219,20171,280,459,616,1,522,3545,3,161,460,15120,89405,252540,804642,6,YES
shoes mens shoes,n/a,100000,1,75,470,330,497,825,0,1001,3209,61,277,532,24339,144499,289575,1444991,6,YES
shoes new designer shoes,n/a,2000,20,1231,7979,293,891,1678,1,342,1603,8,83,245,5512,62010,154560,620103,6,YES
shoes new shoes,n/a,40000,295,295,295,399,399,399,701,701,701,79,79,79,31521,31521,31521,315210,5,NO
shoes new shoes all,n/a,7000,2,867,4187,272,976,3005,0,1200,3450,14,229,460,8386,148530,315549,1336774,6,YES
shoes nike shoes,n/a,5000,917,5580,19552,880,3468,6084,0,23,97,3,19,53,16371,52014,92969,520144,4,YES
shoes nike shoes mens,n/a,4000,1774,22363,170809,977,4277,6084,0,9,52,0,13,26,0,48435,85176,484351,2,NO
shoes nike shoes new,n/a,92,4023,89413,416536,1659,4814,9490,0,2,14,0,4,14,0,21480,74620,193319,1,NO
shoes nike shoes sport,n/a,3000,782,6463,19552,1629,3410,5597,0,17,53,3,16,45,12580,48377,118710,483767,4,YES
shoes nike shoes under 3000,n/a,952,917,4551,8955,880,2498,4236,0,18,53,7,19,53,18081,39191,85670,391908,6,YES
shoes nike shoes under 500,n/a,2000,1,116274,1153691,229,379,499,0,483,3188,0,127,532,0,55408,265468,554076,0,NO
shoes puma shoes,n/a,10000,124,1391,2616,1399,2145,5999,0,49,250,20,46,120,34060,88343,215880,883428,4,YES
shoes puma shoes for men,n/a,7000,125,1418,3293,1232,1574,1996,0,24,86,17,48,120,20944,78247,215880,782472,6,YES
shoes rack for 30 shoes,n/a,528,611,55342,173547,650,1489,7199,0,35,164,0,32,287,0,28619,229313,286194,5,NO
shoes racks multi shoes,n/a,3000,274,28642,116954,811,1119,1599,22,180,454,1,77,290,949,93395,318710,933951,5,YES
shoes red chief shoes,n/a,1000,418,1957,6265,1467,1941,2337,64,194,386,10,33,65,19220,64006,116805,640058,7,YES
shoes reebok shoes original,n/a,56,2561,2561,2561,1599,1599,1599,190,190,190,20,20,20,31980,31980,31980,319800,5,NO
shoes running shoes,n/a,100000,1,68,267,428,602,929,218,1099,3208,83,229,532,41417,140669,302064,1406693,7,NO
shoes running shoes red,n/a,20000,10,2370,20377,445,764,1929,8,293,1482,3,109,304,5787,60959,151696,609593,4,YES
shoes shoe,n/a,200000,3,346,1825,299,533,929,0,506,2244,26,173,418,11661,99139,245784,991389,7,YES
shoes shoe high stilish,n/a,50000,485,11508,67123,449,693,1599,0,21,160,1,23,60,1497,16292,59640,146627,2,NO
shoes shoe mate,n/a,323,1110,35269,128348,448,927,3550,0,69,436,0,7,36,0,5343,24264,53431,1,NO
shoes shoe shoe,n/a,300000,9,349,1122,289,682,1042,0,390,2969,36,172,313,21564,115722,294846,1157218,5,YES
shoes shoe snekar,n/a,18,24948,172050,397924,395,682,899,0,9,81,0,0,2,0,278,1558,2502,1,NO
shoes shoe white white shoes,n/a,60000,5,256,571,279,543,820,0,851,3682,55,165,368,16461,100642,275520,1006421,5,YES
shoes,n/a,100000,1,46,131,289,555,825,13,1461,3861,117,256,532,43061,143436,289575,1434356,6,YES
shoes 200,n/a,9000,5,1215,6384,246,720,2199,0,413,2418,10,103,368,3990,62994,257828,629937,6,YES
shoes 2019,n/a,6000,14,14,14,664,664,664,2805,2805,2805,274,274,274,181936,181936,181936,1819360,6,YES
shoes 300,n/a,10000,131,3015,7584,249,339,499,0,43,214,8,33,117,2632,10646,34983,106455,2,NO
shoes 300 boxer,n/a,94,1659,30371,105289,248,1348,9750,0,40,168,0,8,28,0,3017,11033,30173,3,NO
shoes 5 number,n/a,850,1,728,5296,246,803,2024,10,1371,2465,11,227,532,9889,106954,245784,962584,4,YES
shoes 6,n/a,n/a,1,74,422,499,644,899,239,1136,3158,65,236,532,32435,153634,265468,1536340,5,YES
shoes 6 size,n/a,30000,1,3488,18053,387,839,2649,2,525,3198,3,135,532,1425,77558,265468,775576,5,YES
shoes 7 number,n/a,850,4,3697,28475,232,508,869,180,796,2465,2,166,390,14773,63546,123026,444821,7,YES
shoes 700,n/a,1000,3,2845,25511,399,647,849,2,1381,3861,2,176,418,1278,119712,290979,1077411,5,YES
shoes adidas,n/a,4000,837,4542,7870,1979,2748,3599,0,89,861,8,16,43,17811,44127,111327,441268,7,YES
shoes air,n/a,10000,8,3178,13746,399,521,699,0,55,222,5,72,324,2495,37311,161676,335797,4,YES
shoes all,n/a,50000,3,3347,16468,72,695,2805,0,673,2892,4,144,418,2396,78171,245784,703537,4,NO
shoes and watch,n/a,4000,1,3355,12238,299,602,1499,1,782,4553,9,112,504,3490,61337,251496,613371,4,NO
shoes asian,n/a,10000,1,930,3063,331,512,799,1,760,4708,18,211,654,10782,102258,326346,920319,4,YES
shoes bata,n/a,4000,224,1608,5800,539,886,1297,1,68,462,10,43,91,8440,35233,70216,317100,5,YES
shoes black,n/a,100000,6,341,1685,419,811,1678,37,518,3197,27,165,351,36034,111949,289575,1119492,7,YES
shoes black colour,n/a,20000,6,3811,18931,225,539,899,0,415,3197,0,84,351,0,53211,289575,532112,6,YES
shoes blue black,n/a,20000,124,2558,12834,270,1180,3749,1,84,350,5,62,120,5176,72560,244750,653044,5,YES
shoes blue colour,n/a,10000,28,4309,20607,148,463,1249,0,142,795,3,53,218,1347,37991,202338,379911,7,YES
shoes bluetooth handsfree,n/a,496,14113,378078,1086763,299,2203,9273,0,7,35,0,12,42,0,38950,146979,233697,1,NO
shoes boot,n/a,70000,56,1700,7522,384,699,1748,0,187,775,8,63,168,3592,39230,85652,392304,4,YES
shoes boots,n/a,100000,30,1491,5903,404,610,994,2,162,562,10,81,213,8990,43803,106287,438030,4,YES
shoes boxing shoes,n/a,1000,11563,57765,146346,609,1760,5219,0,1,6,0,2,5,0,3620,19245,32581,1,NO
shoes boy shoes for boys stylish,n/a,n/a,1,330,1367,400,534,849,3,114,246,32,271,1293,13536,178017,1097757,1780173,6,YES
shoes boys,n/a,100000,12,739,3771,339,461,599,1,153,642,15,103,288,6585,49821,143712,498206,4,YES
shoes branded,n/a,10000,1,3618,20621,399,628,1424,0,685,3779,3,168,532,3990,92591,265468,925911,5,YES
shoes campus,n/a,894,585,585,585,824,824,824,149,149,149,54,54,54,44496,44496,44496,444960,5,NO
shoes canvas,n/a,70000,3,1858,14196,389,549,899,1,734,3861,4,121,418,1956,70165,245784,701652,6,YES
shoes check,n/a,3000,1,139,485,199,558,1733,61,1109,3188,60,234,532,29940,110302,265468,992715,7,YES
shoes child,n/a,50000,125,125,125,399,399,399,509,509,509,120,120,120,47880,47880,47880,478800,7,YES
shoes club factory,n/a,237,26,26,26,499,499,499,3516,3516,3516,224,224,224,111776,111776,111776,1117760,7,YES
shoes combo,n/a,50000,58,798,3152,389,673,899,4,207,1415,17,78,166,12733,51489,115971,514891,6,YES
shoes combo for army,n/a,179,1,5860,38310,399,620,1693,1,902,5040,2,173,835,1098,95296,359134,952959,5,YES
shoes combo for mem,n/a,50000,58,5590,35382,359,619,899,0,258,1415,2,81,166,1098,49826,122264,498258,5,NO
shoes combo for women,n/a,20000,770,12097,25364,499,697,999,0,9,35,2,14,46,1458,8405,22954,84046,2,YES
shoes combo men,n/a,40000,94,812,3011,359,639,899,0,133,556,18,71,136,12582,45226,122264,452256,7,YES
shoes combo new,n/a,8000,114,9640,44571,399,579,899,0,15,57,1,31,125,699,21749,112375,217486,7,NO
shoes combo offer,n/a,4000,198,8253,53718,499,751,1099,0,77,257,1,33,97,549,25837,67803,232531,7,NO
shoes combo pack,n/a,30000,58,2996,17145,447,729,999,0,162,1415,4,60,166,3996,41281,115971,412808,4,YES
shoes cricket shoes,n/a,6000,1,2553,6307,499,1217,3799,1,348,3357,8,93,532,3992,75451,265468,754514,4,YES
shoes duke leather,n/a,113,19918,118621,227886,734,1004,1372,0,0,3,0,1,3,0,777,2997,6993,1,NO
shoes f,n/a,5000,1093,9288,25609,394,648,1189,0,27,121,2,14,37,1198,8126,19024,81260,3,NO
shoes fancy,n/a,400000,3,36,131,299,524,825,71,1172,3861,117,267,418,63680,142907,289575,1286164,5,YES
shoes fancy shoes,n/a,10000,3,6499,33464,244,401,588,0,1097,2525,2,153,418,798,68237,245784,682366,4,YES
shoes fashion,n/a,200000,2,1124,7188,390,1578,5999,0,415,3180,9,156,460,4131,110077,229540,1100774,4,YES
shoes football shoes,n/a,n/a,231,2984,17111,419,867,2999,0,167,657,4,103,222,4190,67532,132020,675316,7,YES
shoes for 12 size,n/a,20000,16,7363,22356,379,615,999,0,375,2892,3,51,263,1516,28019,144387,280186,5,YES
shoes for 12 year,n/a,859,300,2898,10667,389,506,699,1,135,329,6,39,78,2574,19234,38922,192343,0,NO
shoes for 12 year boys shoes for,n/a,1000,143,6114,34065,399,472,539,3,111,253,2,40,113,798,18528,45087,185279,1,NO
shoes for boys,n/a,100000,12,207,805,315,463,499,2,330,642,44,159,288,18876,73958,143712,739582,4,YES
shoes for boys 100,n/a,3000,6,43186,200918,88,846,2999,1,538,3720,1,106,365,176,86392,320893,863919,5,YES
shoes for boys 300,n/a,3000,541,10124,36536,259,513,1200,0,38,169,2,29,60,656,14198,46860,141976,2,NO
shoes for boys 500,n/a,7000,1,9343,78866,374,645,2199,2,844,5214,1,145,559,2199,64655,209066,581896,7,YES
shoes for boys 8,n/a,50000,178,3478,21149,374,510,599,1,102,251,3,53,102,1497,27079,61098,243711,6,YES
shoes for boys in 300,n/a,1000,12,5704,19298,345,397,499,2,112,503,3,88,288,1047,35408,107784,354076,7,YES
shoes for boys kids,n/a,100000,8,405,1825,349,472,549,0,111,328,26,125,324,12974,59294,161676,592943,6,YES
shoes for boys red,n/a,20000,16,918,4167,325,480,691,3,302,1246,14,85,263,6986,43605,131237,436050,4,YES
shoes for boys reebok,n/a,330,2775,21214,32070,779,1405,1924,1,7,17,0,6,18,0,4964,14022,19854,0,NO
shoes for boys spark,n/a,279,13,7239,57542,215,727,1409,0,918,2051,1,113,281,1409,57568,169012,575681,4,YES
shoes for dance,n/a,n/a,3,16161,44844,329,875,2399,0,243,2211,1,55,418,906,31815,248292,318150,7,YES
shoes for girls,n/a,100000,41,6213,53569,349,496,599,0,136,328,1,79,190,519,38004,94620,380044,4,YES
shoes for kids,n/a,90000,25,3109,11270,199,613,1497,0,67,288,6,48,227,2786,24564,90573,245638,4,YES
shoes for kids girl,n/a,100000,77,1119,8103,274,422,499,0,107,250,8,81,148,2192,34643,68363,346432,4,NO
shoes for ladies,n/a,60000,46,1417,4676,358,448,579,0,167,471,12,55,182,4296,25761,90818,257612,6,YES
shoes for men,n/a,100000,2,73,291,320,571,899,71,1152,3633,64,223,460,28736,132897,315549,1328965,7,YES
shoes for men casual,n/a,80000,2,4684,37188,310,751,3299,0,625,3824,2,129,460,998,68035,245784,680352,7,YES
shoes for men combo,n/a,40000,58,633,3152,338,592,899,4,255,1415,17,90,166,12733,54472,122264,544721,4,YES
shoes for men formals,n/a,50000,89,655,1685,285,1239,4695,2,210,440,27,76,139,19767,96345,507060,963450,6,YES
shoes for men leather,n/a,60000,89,700,2410,394,1164,4695,2,167,384,21,78,139,10479,90342,455415,903421,5,YES
shoes for men new,n/a,30000,1,3854,23019,420,1857,5499,0,555,3188,3,141,532,16497,91456,265468,914557,6,YES
shoes for men puma,n/a,4000,25,6016,17874,1198,2482,5499,0,14,91,4,46,227,15390,66339,272173,597051,4,YES
shoes for men sport,n/a,80000,1,145,1187,304,513,825,0,766,3197,35,241,532,13965,130534,289575,1305343,6,YES
shoes for men sports shoes,n/a,100000,1,36,76,320,525,825,0,770,3205,149,259,532,56320,142699,289575,1284287,7,YES
shoes for men stylish,n/a,100000,1,87,291,320,561,899,71,1049,3357,64,221,532,28736,130114,315549,1301139,4,YES
shoes for mens jordan,n/a,450,624,14696,54616,299,2042,5999,0,2,8,1,15,52,689,15376,41993,153757,2,NO
shoes for small girls,n/a,4000,28,6940,49279,209,628,1999,0,245,577,1,102,218,209,53557,108782,535566,7,YES
shoes for women,n/a,100000,64,676,3424,457,1090,4519,0,168,392,16,80,160,15040,57356,148640,516205,7,YES
shoes for women combo,n/a,20000,83,3722,15495,299,548,899,1,13,40,4,49,143,2595,20915,42757,209147,4,YES
shoes game,n/a,n/a,10,6505,25531,202,611,899,1,436,3133,2,88,304,1398,49102,273296,491016,6,YES
shoes gel,n/a,10000,912,2208,6221,158,275,590,13,111,365,37,151,254,8843,39509,83391,355579,4,YES
